City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
128,iskateley,67.6803,53.1512,264.36,90,93,6.71,RU,1681442435
129,bonavista,48.6499,-53.1147,273.46,90,100,1.96,CA,1681442515
130,thinadhoo,0.5333,72.9333,301.55,72,72,2.71,MV,1681442907
131,teguldet,57.3064,88.1667,267.52,89,100,3.88,RU,1681442458
132,hualmay,-11.0964,-77.6139,297.65,76,98,4.46,PE,1681442908
133,teruel,40.6667,-0.6667,275.59,74,65,6.02,ES,1681442909
134,saldanha,-33.0117,17.9442,285.18,84,0,5.86,ZA,1681442911
135,butte,39.6499,-121.5677,288.16,43,0,0.0,US,1681442912
136,ribeira grande,38.5167,-28.7,290.25,93,96,8.05,PT,1681442912
137,dakar,14.6937,-17.4441,298.64,85,90,6.73,SN,1681442846
138,lima duarte,-21.8425,-43.7931,290.97,96,6,0.93,BR,1681442913
139,xining,36.6167,101.7667,281.33,43,49,2.42,CN,1681442914
140,tasiilaq,65.6145,-37.6368,273.24,89,66,2.28,GL,1681442324
141,kalmunai,7.4167,81.8167,301.79,75,10,0.52,LK,1681442385
142,ziro,27.6333,93.8333,289.56,48,1,0.11,IN,1681442916
143,rexburg,43.826,-111.7897,272.27,80,0,3.09,US,1681442728
144,merauke,-8.4667,140.3333,302.24,72,97,3.12,ID,1681442444
145,kichmengskiy gorodok,59.9816,45.7854,265.77,67,6,4.65,RU,1681442918
146,bilma,18.6853,12.9164,296.82,10,27,2.82,NE,1681442918
147,hasaki,35.7333,140.8333,297.16,68,87,10.31,JP,1681442337
148,college,64.8569,-147.8028,270.7,55,75,5.14,US,1681442323
149,alta floresta,-9.8756,-56.0861,295.04,97,100,0.65,BR,1681442817
150,havoysund,70.9963,24.6622,274.28,73,4,3.3,NO,1681442382
151,erzin,36.9559,36.2,284.19,82,12,1.53,TR,1681442921
152,shymkent,42.3,69.6,295.48,33,0,5.0,KZ,1681442921
153,codrington,-38.2667,141.9667,296.02,47,23,5.3,AU,1681442921
154,savannah bight,16.45,-85.85,300.29,83,99,8.26,HN,1681442922
155,neuquen,-38.9516,-68.0591,284.09,76,0,2.06,AR,1681442922
156,aberdeen,57.1437,-2.0981,277.42,100,100,0.51,GB,1681442657
157,sivas,39.7916,37.0019,274.5,93,75,3.6,TR,1681442380
158,san patricio,28.017,-97.5169,296.07,71,41,4.73,US,1681442923
159,bambanglipuro,-7.95,110.2833,300.46,77,100,2.91,ID,1681442789
160,dingle,10.9995,122.6711,305.18,55,39,2.44,PH,1681442824
161,normandin,48.8333,-72.5321,282.32,57,100,4.12,CA,1681442925
162,tura,25.5198,90.2201,305.77,21,76,2.17,IN,1681442486
163,ahipara,-35.1667,173.1667,294.9,70,100,5.12,NZ,1681442925
164,buala,-8.145,159.5921,301.36,80,95,2.89,SB,1681442780
165,aklavik,68.2191,-135.0107,255.76,88,100,3.99,CA,1681442927
166,anage,-14.6122,-41.1356,294.63,78,42,1.28,BR,1681442927
167,russell,32.3502,-85.1999,291.75,94,0,1.93,US,1681442436
168,castro,-24.7911,-50.0119,289.33,85,98,1.66,BR,1681442928
169,tilichiki,60.4667,166.1,262.34,73,7,3.55,RU,1681442928
170,arraial do cabo,-22.9661,-42.0278,297.0,91,9,3.92,BR,1681442929
171,thompson,55.7435,-97.8558,276.24,65,75,1.54,CA,1681442930
172,saint-michel-des-saints,46.6834,-73.9159,280.89,90,100,4.11,CA,1681442930
173,djambala,-2.5447,14.7533,293.73,89,70,0.69,CG,1681442931
174,nova aurora,-22.8667,-52.5667,294.77,91,100,0.61,BR,1681442931
175,sur,22.5667,59.5289,302.57,49,36,2.34,OM,1681442501
176,comodoro rivadavia,-45.8667,-67.5,273.07,80,0,3.09,AR,1681442813
177,necochea,-38.5473,-58.7368,285.25,57,98,2.75,AR,1681442932
178,kununurra,-15.7667,128.7333,303.14,70,75,1.03,AU,1681442391
179,cockburn town,21.4612,-71.1419,299.06,77,10,7.76,TC,1681442765
